v1,v2
spam,Get a direct instant loan without any guarantor download the fast loan app from this link and grant SMS permissions to verify your bank balance automatically
ham,The foreclosure letter for your instant loan account has been generated you can download it directly from the document section of your net banking dashboard
spam,Increase your creditcard limit to Rs 10 Lakhs without any income verification click the short link provided to submit your KYC documents and processing fee
ham,Your creditcard ending in 3344 was successfully used for an international transaction of USD 45 at Netflix the converted INR amount will reflect in your statement
spam,You have a pre approved loan offer of Rs 4 Lakhs pending your approval reply YES to this message and transfer Rs 2000 as registration fee
ham,To opt out of receiving pre approved loan marketing communications please send an SMS with the text STOP to the designated bank toll free number provided
spam,Your Amazon account is locked due to unauthorized access share the OTP sent to your mobile number to verify your identity and restore purchasing capabilities
ham,445566 is the OTP to authenticate your login to the HDFC securities trading platform please ensure that the URL displays the secure padlock icon before proceeding
spam,Download the trusted instant loan application today and receive up to Rs 2 Lakhs directly into your savings account click here to install the APK file
ham,Your instant loan application has been rejected due to a low CIBIL score you can reapply after improving your credit history over the next six months
spam,Your existing creditcard has been blocked due to suspicious activity click the link to order a replacement card and pay the dispatch fee via UPI
ham,We have received your request to convert your recent creditcard transaction of Rs 25000 into smart EMIs the revised payment schedule will be shared shortly
spam,Congratulations your PAN card has been selected for a pre approved loan of Rs 5 Lakhs send your bank details and pay the GST charge now
ham,Your PAN card details have been successfully updated in your bank account profile allowing you to check your pre approved loan eligibility without any restrictions
spam,Dear customer your electricity bill is overdue share the OTP sent to your mobile to pay the outstanding amount and avoid immediate power disconnection today
ham,112233 is the OTP for your electricity bill payment of Rs 1500 via the ICICI iMobile app this code is strictly confidential and valid for five minutes
spam,Apply for an instant loan of Rs 100000 with zero processing fees and no document upload click the link to enter your bank credentials and get funds
ham,The mandate for your instant loan auto debit has been successfully registered with your bank your next EMI will be deducted on the 5th of November
spam,Your ICICI creditcard reward points are expiring today click the provided link to convert them into a direct cash deposit and bypass the redemption portal
ham,Your ICICI creditcard ending in 7766 has been successfully blocked as per your request via customer care a new card will be issued within seven days
spam,You are eligible for a pre approved Mudra loan of Rs 10 Lakhs under the new scheme pay the processing fee of Rs 3000 to this number
ham,The government of India does not charge any upfront processing fees for pre approved Mudra loans please report any such fraudulent requests to the cyber cell
spam,A suspicious login attempt was detected on your net banking profile share the 6 digit OTP to lock your account and secure your deposited funds immediately
ham,998877 is the OTP for adding a new payee to your Axis bank account please verify the payee details carefully before completing the transaction online
spam,Get a guaranteed instant loan of Rs 50000 transferred to your account within 5 minutes simply download our app and allow access to your contact list
ham,Your request for a top up on your existing instant loan has been received and is currently under evaluation by our credit team please await further communication
spam,Exclusive offer for premium customers upgrade your creditcard to lifetime free and get a welcome bonus of Rs 5000 click the link to submit details
ham,The annual fee of Rs 1000 for your premium creditcard has been billed to your current statement you can offset this fee by redeeming your reward points
spam,Your pre approved loan application is incomplete click the link to finish the process and pay the final document verification fee for immediate cash transfer
ham,We require additional income documentation to process your pre approved loan application please upload your latest salary slips on the official bank portal securely
spam,Your UPI PIN has expired share the OTP sent to your registered mobile number to generate a new PIN and avoid suspension of your digital payments
ham,334455 is the OTP to reset your UPI PIN for your SBI savings account never share your OTP or UPI PIN with anyone including bank staff
spam,Need an instant loan of Rs 1 Lakh with bad credit no problem click the link to apply and pay the nominal risk assessment fee via PayTM
ham,Your recent instant loan EMI payment of Rs 3500 has been received successfully thank you for maintaining a prompt repayment schedule with Bajaj Finance Limited
spam,Your Axis bank creditcard is temporarily suspended due to a security breach click the link to verify your identity by entering your card number and CVV
ham,Your Axis bank creditcard ending in 2233 has a total credit limit of Rs 150000 with an available balance of Rs 45000 as of today morning
spam,Congratulations you have been pre approved for a personal loan of Rs 3 Lakhs transfer the security deposit of Rs 2500 to our agent to proceed
ham,Your pre approved personal loan offer has been successfully activated and the funds have been disbursed to your primary savings account as per your instructions
spam,Dear user share your OTP immediately to claim your assured cashback of Rs 2000 from Google Pay failure to do so will result in offer cancellation
ham,667788 is your OTP for the transaction of Rs 1200 at Flipkart using your Kotak bank debit card this code is valid for 10 minutes only
spam,Download our fast cash instant loan app and get up to Rs 5 Lakhs transferred today no income proof needed send a message to our WhatsApp agent
ham,Your instant loan closure request has been processed successfully and the official no objection certificate has been dispatched to your registered email address for your records
spam,Alert your SBI creditcard is suspended due to pending KYC update your PAN card details immediately at the provided link to restore your online shopping access
ham,Your SBI creditcard statement for the month of October has been generated the total amount due is Rs 4590 and is payable by the 15th of November
ham,SBI informs you that no pre approved loan requires any upfront payment of fees please be cautious of fraudulent calls asking for processing charges online via UPI
ham,748291 is your OTP for the purchase of Rs 1299 at Myntra using your SBI debit card this OTP is valid for 5 mins do not share with anyone
spam,Get instant loan up to Rs 50000 directly in your PayTM wallet no credit check required click the short link to download the secure application file to your device
ham,Your EMI payment for the instant consumer durable loan has been successfully auto debited from your registered IDFC First bank savings account today thank you
spam,Exclusive offer get a premium creditcard with free airport lounge access and zero annual charges apply instantly at the link and share your internet banking password securely
ham,Dear customer your request for a creditcard limit enhancement is under process our executive will contact you within two working days for official verification of your details
spam,Congratulations you have a pre approved personal loan of Rs 150000 click the link below and provide your [Aadhaar Redacted] details to complete your application and receive funds
ham,Your pre approved personal loan eligibility can be checked directly through the official YONO SBI app under the loans section without any hidden charges or external links
spam,RBI alert suspicious activity found in your account please share the 6 digit OTP sent to your phone to verify your identity and avoid a permanent account block
ham,102938 is the OTP for your NEFT transfer of Rs 5000 to Rahul Sharma OTP valid for 8 minutes do not share this with anyone for your own security
spam,KreditBee instant loan offer you are eligible for 30000 cash right now pay a small file charge of 500 to our official WhatsApp number for immediate disbursal
ham,Welcome to KreditBee your instant loan profile has been successfully verified you can now explore various repayment tenures on our official smartphone application securely online
spam,Dear customer redeem your HDFC creditcard points worth Rs 8000 before they expire click the provided link to transfer cash to your savings account instantly without delay
ham,Your HDFC creditcard transaction of Rs 2500 at Amazon India is successful your current outstanding balance is Rs 14500 log in to view the detailed monthly statement
spam,Claim your pre approved instant cash loan of 50000 zero interest for 3 months visit the portal and transfer the security deposit to our legal team via UPI
ham,Your application for the pre approved two wheeler loan has been successfully disbursed to the dealer account directly have a safe and wonderful ride on your new bike
spam,Dear customer share your OTP immediately to stop account suspension failure to do so may block your banking access and freeze your mutual fund investments completely today
ham,992837 is your OTP for registering the new UPI PIN for your Bank of Baroda account do not share this confidential code with customer care executives or anyone else
spam,Instant cash loan of 1 lakh approved transfer 1000 as GST charge to our agent for immediate disbursal of your loan amount today without any tedious paperwork
ham,Your loan account ending in 7748 has an overdue EMI of Rs 3200 please clear the dues immediately to maintain a healthy CIBIL credit score for future borrowing
spam,Your creditcard application is pre approved complete the final step by paying Rs 299 processing fee at the given link to dispatch the physical card securely to you
ham,Please be informed that the international transaction feature on your creditcard has been disabled as per your request via the netbanking portal yesterday for enhanced account security
spam,Get a pre approved home loan top up of 5 lakhs available click the secure link to claim your funds instantly without any physical verification or branch visit needed
ham,The interest certificate for your pre approved home loan has been generated and sent to your registered email ID for annual income tax filing purposes please check inbox
spam,You have received Rs 22450 from Abhishek Sharma please share the OTP sent to your inbox to receive the money directly in your savings account without any delay
ham,556473 is your OTP for authenticating the payment of Rs 1500 at Swiggy using your ICICI bank account this code expires in exactly 5 minutes do not share
spam,Need quick funds get an instant loan of 25000 directly to your bank account with no credit check click the link to start the process now via your smartphone
ham,We have received your request for the foreclosure of your instant personal loan the final settlement amount will be communicated to you shortly via email and official SMS
spam,Your creditcard limit has been pre approved for an upgrade to Rs 400000 click the link to provide your card details and activate the offer immediately before it expires
ham,Your request for blocking the lost creditcard has been processed successfully a replacement card will be shipped to your registered address within 5 working days tracking details provided
spam,Pre approved business loan of 10 lakhs available with zero collateral chat with our agent on WhatsApp and pay the initial document verification fee to start the immediate process
ham,Thank you for showing interest in our pre approved business loan our relationship manager will schedule a meeting at your registered office address next week for further detailed discussions
spam,Dear customer your bank KYC will expire in 24 hours update now using the short link and submit the OTP to avoid permanent account closure and freezing of funds
ham,883726 is the OTP for adding a new beneficiary to your SBI netbanking account please ensure you have initiated this request before proceeding further with the secure transaction online
spam,Zero interest instant loan available for a limited time download the app and grant contact permissions to receive your funds within minutes without delay or any credit checks
ham,Your personal details for the instant loan application have been successfully updated in our system as per your latest [Aadhaar Redacted] authentication via the UIDAI portal for official records
spam,You are the lucky winner of a free smartphone in our festival draw pay the creditcard processing tax of Rs 500 to dispatch the item to your home address directly
ham,The dispute regarding your recent creditcard transaction of Rs 4000 has been registered and a temporary credit has been applied to your account pending investigation by our fraud team
spam,Pre approved education loan up to 10 lakhs available for your childs future click the external link to apply and pay the nominal file charge upfront to our verified agent
ham,Your pre approved education loan disbursement has been directly credited to the university fee account as per the schedule provided in your loan agreement confirming successful processing
spam,Part time job alert earn 1500 per day by filling surveys share the OTP sent to your number to confirm your registration and start earning cash deposited directly to account
ham,773829 is your OTP to download the account statement from the PNB mobile banking app do not share this password with bank officials or telecallers under any circumstances ever
spam,Instant personal loan up to 5 lakhs with no income proof required chat with us on the provided number to apply and get funds today in your wallet via UPI
ham,Your query regarding the instant loan interest rate has been resolved please check your email for the detailed amortization schedule and repayment breakdown customized for your specific loan account
spam,Alert your SBI creditcard is suspended update your PAN card details at the provided link to restore your services and continue shopping online securely without facing any further disruptions
ham,Your SBI creditcard ending in 1122 has been successfully activated for domestic online transactions you can modify these limits using the official YONO app securely from your mobile device
spam,Congratulations you have a pre approved personal loan of Rs 150000 click the link to complete your application and avoid missing this exclusive offer designed specifically for our premium customers
ham,The pre approved loan offer on your account is valid till the end of this month please read the terms and conditions carefully before accepting the funds via your banking portal
spam,Your mobile number has won a cashback of Rs 5000 click the link and enter the OTP received on your phone to claim the reward immediately into your designated savings account
ham,229384 is the OTP for your bill payment of Rs 850 to Airtel broadband via your IndusInd bank account never share this code with anyone online or over a phone call
spam,Apply for pre qualified creditcard limit up to INR 150000 and get a free smart watch click the link and submit your banking passwords to claim this exclusive promotional offer today
ham,Your creditcard reward points summary for this month has been dispatched to your email you have accumulated 450 points from your recent retail purchases which can be redeemed online securely
spam,Pre approved gold loan at just zero point five percent interest rate click the fast link to check your offer and pay the valuation fee to our agent for instant processing
ham,Your pre approved gold loan interest payment of Rs 2500 has been successfully received the next due date is the 10th of next month please note for your future financial planning
spam,Dear customer share your OTP immediately to stop account suspension failure to do so may block your access to your mutual fund investments and savings leaving you without any available funds
ham,665748 is your OTP for updating the email address linked to your HDFC bank account this code is valid for 15 minutes only and is system generated for your absolute security
spam,Urgent requirement for instant loan agents earn high commissions by forwarding our app link to your contacts pay the joining fee to start earning today directly to your linked bank
ham,Your complaint regarding the instant loan processing delay has been escalated to the nodal officer we apologize for the inconvenience caused during this period and assure a swift resolution shortly
spam,Exclusive offer get a lifetime free creditcard with 10 percent cashback on all purchases apply at the given link and verify with your ATM PIN securely to unlock these massive benefits
ham,Your application for a new add on creditcard has been approved and the card will be delivered to your primary address in 7 working days via courier complete with tracking information
spam,Dear customer your pre approved loan of Rs 500000 is ready no CIBIL required click the fast loan link to apply now and bypass verification checks for immediate direct cash deposit
ham,Your CIBIL score has been updated successfully you can view your detailed credit report by logging into the official portal using your secured credentials to monitor your ongoing financial health
spam,Your package is held due to unpaid customs fee pay Rs 25 to release it by clicking the link and submitting the OTP for the online transaction to ensure immediate courier dispatch
ham,338492 is your OTP for logging into the Income Tax e filing portal do not share this OTP to prevent unauthorized access to your sensitive tax records and personal financial data
spam,Get an instant cash loan of Rs 50000 deposited in 10 minutes click the fast cash deposit link to start the process and bypass branch visits completely relying only on digital verification
ham,The address change request for your instant loan account has been processed successfully please verify the details on your next monthly statement generated by the bank and mailed to your residence
spam,Alert your ICICI reward points worth 7500 will expire at midnight click the vip link to convert them to cash and transfer to your account instantly without using the standard portal
ham,Your ICICI bank creditcard ending in 9900 was used for a transaction of Rs 600 at Starbucks if this was not you please call customer care immediately to block the card
spam,Pre approved business loan of 5 lakhs available with zero collateral chat with our agent and transfer the initial security deposit for quick approval and disbursal directly to your corporate account
ham,We have successfully verified the collateral documents submitted for your business loan the final sanction letter will be issued by tomorrow evening via email detailing the approved loan terms and conditions
spam,You have received a fund transfer of Rs 10000 from an unknown sender please share the OTP to accept the funds into your savings account directly bypassing the standard bank clearance time
ham,448596 is your OTP for the successful registration of the UPI mandate for your mutual fund SIP do not share this code with anyone ensuring absolute safety of your recurring digital investments
spam,Make easy money from home by downloading our instant loan app and referring friends daily payment guaranteed click the link to join our exclusive network group and start receiving cash payouts
ham,The processing fee for your instant personal loan has been waived off under the festive offer please review the revised sanction letter attached to your email for the updated repayment structure
spam,Your creditcard application is pre approved complete the final step by paying Rs 499 processing fee at the provided link to get your card instantly dispatched to your residential address today
ham,Your creditcard bill payment of Rs 12500 has been successfully credited to your account the updated available credit limit reflects in your mobile app dashboard for your immediate perusal and use
spam,Pre approved home loan top up of 3 lakhs available click the link to claim your funds and pay the mandatory legal verification charges upfront to our team for instant processing and clearing
ham,Your request for the part prepayment of your pre approved home loan has been processed the updated principal balance is available on the secure portal online reflecting your reduced ongoing EMI burden
spam,Dear customer your bank KYC will expire in 24 hours update now using the short link and submit the OTP to avoid account block and legal action from the central banking authority
ham,119283 is the OTP for linking your [Aadhaar Redacted] card to your bank account please ensure you are completing this process on the official government website only to protect your biometric identification details
spam,Earn money easily by giving 5 star reviews to our instant loan partner apps daily payment guaranteed click the link to join our telegram group and start generating income from your smartphone
ham,Your feedback regarding the instant loan application process has been recorded we constantly strive to improve our digital banking services for all our esteemed customers and value your continued dedicated patronage
spam,Congratulations you have won an iPhone in our lucky spin contest pay the creditcard delivery tax of Rs 299 to the given UPI ID to claim your prize before the offer expires
ham,Your creditcard account summary shows an outstanding balance of zero thank you for maintaining an excellent payment history with our bank over the past year ensuring a premium customer relationship status
spam,You are pre approved for a personal loan of Rs 200000 with zero documentation click the instant cash link to disburse the funds directly to your wallet without any tedious branch verification processes
ham,The pre approved loan promotional offer sent to you last week has expired you can still apply for a standard personal loan through our official website undergoing the routine credit verification procedures
spam,Share your OTP immediately to claim your guaranteed lottery prize of Rs 50 Lakhs failure to provide the code will result in prize cancellation without notice and forfeiture of the cash amount
ham,993847 is your OTP for confirming the beneficiary addition for IMPS transfers this code is confidential and should not be shared with bank employees ever to ensure the integrity of your account
spam,Online instant loan job complete the typing assignment in 3 days to earn 15000 pay the refundable software security deposit to start working today from home using your personal computer and internet connection
ham,Your instant loan application is currently in the final verification stage our field executive will visit your office address for the physical document check tomorrow afternoon please keep your original identity proofs ready
spam,Dear customer your SBI creditcard reward points worth Rs 8500 will expire today click the vip claim link to redeem them now into cash directly avoiding the standard lengthy redemption catalog process
ham,Your SBI creditcard annual fee of Rs 499 has been successfully reversed as you have crossed the required annual spending milestone of Rs 1 Lakh successfully demonstrating your continued usage and loyalty
spam,Pre approved car loan offer just for you get 100 percent financing with no processing fees chat with us and pay the agent commission to proceed with the vehicle registration and immediate delivery
ham,The vehicle registration certificate for your pre approved car loan has been received by the bank and updated in our loan records successfully as required by the regional transport office compliance guidelines
spam,Your account will be suspended due to suspicious activity share the 6 digit OTP sent to your phone to verify your identity and prevent closure today ensuring your funds remain completely accessible
ham,558291 is your OTP for resetting the password of your mobile banking application if you did not request this please contact our toll free number immediately to secure your digital banking profile
spam,Need urgent cash get a pre approved loan of 50000 in just 2 minutes no documents required click the urgent cash link to download the file directly and bypass standard credit bureau checks
ham,The partial withdrawal from your fixed deposit has been processed and the funds have been credited to your linked savings account successfully without any penalty preserving your remaining principal investment amount
spam,Your creditcard is blocked due to unusual activity verify your details at the provided link to restore services and update your confidential PIN for safety against fraudulent international transactions currently occurring
ham,Your new creditcard PIN has been generated successfully please do not write it down anywhere and memorize it for secure future transactions across all platforms ensuring your financial safety at all times
spam,Pre approved home loan of up to 50 lakhs at lowest interest rates click the offer link to check your eligibility and pay the valuation charge via UPI to expedite the property assessment
ham,Your pre approved loan EMI bounce charge of Rs 590 has been debited from your account please ensure sufficient balance for future auto debits to avoid fees and negative impacts on your credit
spam,You have received a cash reward of Rs 5000 from PhonePe share the login OTP sent to your mobile to deposit the money into your account instantly avoiding the standard clearance wait times
ham,884920 is your OTP for the payment of Rs 2500 towards your life insurance premium do not disclose this OTP to anyone for security reasons and privacy protecting your ongoing financial health
spam,KreditBee instant loan offer you are eligible for 30000 cash right now pay a small file charge of 500 to the given WhatsApp number to claim your funds instantly with zero hassle
ham,Your KreditBee loan repayment of Rs 4500 was successful the updated loan statement is available in the app under the transaction history section for review helping you track your outstanding liability accurately
spam,Exclusive creditcard offer lifetime free card with 5000 welcome bonus apply now at the fake bank cards link and share your internet banking password directly to bypass the standard manual verification queue
ham,Your creditcard statement password is your 4 letter name followed by your birth year please use this format to unlock your monthly PDF statement securely maintaining the confidentiality of your spending records
spam,Claim your pre approved instant cash loan of 50000 zero interest for 3 months visit the easy loan approval link and submit your internet banking details to facilitate immediate and seamless direct transfer
ham,The pre approved loan limit on your account is evaluated periodically based on your transaction history and maintaining a healthy average quarterly balance consistently ensuring you receive the most competitive interest rates
spam,Dear customer share your OTP immediately to stop account suspension failure to do so may block your banking access and result in permanent legal action including the freezing of all your linked assets
ham,772839 is your OTP for authorizing the e mandate for your mutual fund investments this OTP is valid for 10 minutes only do not share with anyone to prevent unauthorized systematic investment plans
spam,Dear customer your SBI account KYC is pending please update your PAN card details immediately at http://sbi-kyc-verify.com to prevent account suspension
ham,SBI reminds you that periodic KYC update is a mandatory regulatory requirement please visit your home branch with valid PAN and Aadhaar documents
spam,Fake bank alert your HDFC account has been debited by Rs 25000 if you did not authorize this transaction click here http://hdfc-dispute.in to block your card
ham,HDFC Bank warns customers to beware of fake bank alert messages claiming your account is debited we will never ask you to click external links for disputes
spam,Your ICICI NetBanking is blocked due to multiple failed login attempts share the 6 digit OTP sent to your registered mobile number to restore access today
ham,384920 is your OTP for ICICI NetBanking login valid for 5 minutes do not share this OTP with anyone including bank officials to prevent fraud
spam,Alert your Canara Bank account has suspicious activity and is now blocked click the secure link below to verify your PAN card and restore transactions
ham,Your Canara Bank account balance is Rs 45000 as of today if you notice any suspicious activity please block your card using our official toll free number
spam,Your KYC has expired update now to avoid account suspension download the quick KYC app from http://kyc-fast.com and grant SMS permissions to proceed
ham,Dear customer we have received your KYC documents at the branch your account status is active and no suspension will occur
spam,Rs 15000 debited from your account if not done by you report here http://cancel-txn.com to generate a refund OTP and secure your banking profile
ham,Rs 15000 credited to your account linked to UPI ID from payroll processing beware of fake bank alert messages asking you to refund money
spam,Your Axis bank credit card is suspended update your PAN card details immediately at the provided link to restore your online shopping access
ham,Your Axis bank credit card ending in 1122 has been successfully activated for domestic online transactions you can modify these limits using the official app
spam,Dear BOB customer your account will be frozen today share OTP now for urgent verification to the customer support number provided below
spam,HDFC NOTICE your KYC is pending update now or your account will be suspended within 24 hours access the portal here http://hdfcbk-kyc.in
ham,Protect yourself from fraudsters always check that messages from HDFC Bank come from the official ID and links start with hdfcbk.io do not share KYC info
spam,Account verification required immediately click the secure link below to avoid service interruption and block on your ICICI banking application
ham,Your request for blocking the lost credit card has been processed successfully a replacement card will be shipped to your registered address within 5 working days
spam,Dear customer redeem your HDFC credit card reward points worth Rs 8000 before they expire click the link to transfer cash and bypass OTP verification
ham,Your HDFC credit card transaction of Rs 2500 at Amazon India is successful your current outstanding balance is Rs 14500 log in to view the statement
spam,Fake bank alert warning your account is compromised download the anti fraud security app from this link and enter your KYC details to stay safe
ham,Bank of Baroda will never ask you to download third party security apps or share your KYC details over SMS stay alert against cyber frauds
spam,Your SBI NetBanking is locked due to security reasons share the 6 digit OTP to verify your identity and unlock your deposited funds immediately
spam,Alert your ICICI reward points worth 7500 will expire at midnight click the vip link to convert them to cash and prevent your account from being blocked
ham,Your ICICI bank credit card ending in 9900 was used for a transaction of Rs 600 at Starbucks if this was not you please call customer care immediately
spam,Your Union Bank account is blocked due to suspicious UPI transactions verify your PAN details at http://union-verify.com to remove the security hold
ham,Union Bank of India confirms your request to block your UPI ID has been executed successfully please visit the branch to generate a new PIN
spam,Dear user your HDFC NetBanking Account will be blocked today please click on the link and update your PAN CARD Number immediately http://cutt.ly/hArA1HE
ham,We at HDFC Bank are concerned that your Cust ID is nearing the Re KYC due date please confirm and update your details quickly using your official netbanking login
spam,Alert your SBI credit card is suspended update your PAN card details at the provided link to restore your services and continue shopping online securely
ham,Your SBI credit card ending in 1122 has been successfully activated for domestic online transactions you can modify these limits using the official YONO app
spam,Your credit card is blocked due to unusual activity verify your details at the provided link to restore services and update your confidential PIN for safety
ham,Your new credit card PIN has been generated successfully please do not write it down anywhere and memorize it for secure future transactions across all platforms
spam,Your SBI NetBanking Account will be blocked today please click on the link and update your PAN CARD Number immediately to avoid penalty
ham,State Bank of India alerts customers that we do not request PAN card updates via unverified SMS links please report any fake bank alert to 1930
spam,Dear customer your KYC has expired update now to avoid account suspension link http://bit.ly/sbi-verify-kyc
ham,Dear customer your KYC verification at the branch was successful your account services will continue without any interruption thank you for banking with us
spam,INR 25000 debited from your account if not done by you report here http://cancel-payment.com and enter OTP to block further fraudulent transactions
ham,INR 25000 has been credited to your account ending in 4532 via IMPS transfer if you notice any discrepancy please contact your home branch
spam,Your OTP for a transaction of INR 15000 is 4587 do not share with anyone unless you are speaking to our authorized account recovery executive
ham,458721 is your OTP for registering a new beneficiary on the HDFC NetBanking portal this code is strictly confidential and valid for 5 minutes
spam,Your YONO account is disabled contact our technical support number immediately and share the remote access OTP to restore your banking profile
ham,YONO SBI reminds you never to share any remote access OTP or download screen sharing apps like AnyDesk as it can lead to severe bank fraud
spam,Notice from RBI your account is under investigation for money laundering share your [Aadhaar Redacted] details and bank OTP to halt the digital arrest process
ham,Reserve Bank of India RBI conducts public awareness campaigns to warn citizens about fake SMS frauds claiming to freeze accounts we never ask for OTPs
spam,Your debit card has been blocked due to multiple incorrect PIN entries verify your identity at http://unblock-card.com to generate a new ATM PIN
ham,Your request to block your lost debit card has been received a new card with updated EMV chip technology will be dispatched to your registered KYC address
spam,Dear customer update your PAN details immediately your account is on hold and all outgoing UPI transactions have been blocked click here to resolve
ham,Your PAN card details have been successfully updated in our core banking system you can now initiate high value UPI transactions without any restrictions
spam,Your account has been flagged for suspicious activity share the OTP sent to your phone to cancel the unauthorized transfer of Rs 45000
ham,Your transaction of Rs 45000 via RTGS has been successfully credited to the beneficiary account if you suspect fraud please dial the cybercrime helpline 1930
spam,Your account will be blocked today verify immediately at http://bit.ly/pnb-verify to avoid suspension and massive penalty charges on your savings
ham,Punjab National Bank customer care advises you to never click on shortened URLs in SMS claiming your account is blocked always use the PNB app
spam,Your KYC is pending download the secure banking app update here http://short.link/update.apk to prevent your account from being completely blocked
ham,When a customer clicks on an APK file received via unknown SMS Android will display a warning this file might be harmful please heed this warning
spam,Bank of Baroda alert your account has been temporarily blocked due to incomplete verification confirm details now at http://bob-secure-update.info
ham,Bank of Baroda informs you that we do not ask for any confidential information through SMS please do not share your OTP PIN or CVV with anyone
spam,Your HDFC NetBanking Account will be blocked today please click on the link and update your PAN CARD Number immediately to avoid suspension
ham,Always check that messages from HDFC Bank come from the official ID HDFCBK or HDFCBN and links start with hdfcbk.io protect yourself from fraudsters
spam,Your SBI YONO Account is Closed Today Contact now And Update your PAN NUMBER in the following link to reactivate your digital banking profile
ham,SBI alerts customers that legitimate bank notices provide reasonable timeframes and do not use threatening phrases like act immediately or account will be blocked
spam,Dear Customer your KYC has expired Update now to avoid account suspension click the link below to access the centralized verification portal
ham,KYC Know Your Customer is a regulatory process where banks verify identity using valid documents banks do not ask for sensitive details for KYC updates via SMS
spam,INR 25000 debited from your account If not done by you report here by clicking the link and entering your netbanking password to reverse the transaction
ham,Account getting debited when your bank account is debited Rs 5000 or more as specified by you you will receive an official SMS alert from ICICI bank
spam,Your PNB account requires immediate KYC validation reply with your [Aadhaar Redacted] number and OTP to stop the ongoing account freeze process
ham,Punjab National Bank confirms your recent KYC update is complete your banking privileges including NEFT and RTGS transfers are fully active
spam,Alert your Canara Bank debit card will be blocked tonight due to missing PAN data visit http://canarabank-kyc.in and submit the OTP
ham,Canara Bank confirms your request to block your debit card ending in 8839 is successful please visit your branch for a replacement card
spam,Your Kotak 811 account is suspended for abnormal activity share the verification OTP to reactivate your mobile banking app immediately
ham,293847 is your OTP for Kotak 811 app login valid for 10 minutes do not share this OTP with anyone including bank staff
spam,Fake bank alert INR 40000 has been deducted from your Axis bank account click http://axis-reversal.com and provide your card CVV for refund
ham,Axis Bank alerts you to be cautious of fake bank alert messages claiming false deductions verify all transactions through our official mobile application only
spam,Dear user your IDFC FIRST account is restricted due to lapsed KYC click the link to initiate a video call and share your OTP with our agent
ham,Your IDFC FIRST bank account is fully compliant with all KYC norms thank you for updating your records with our customer service team
spam,Warning your Union Bank netbanking password has expired your account will be blocked click here to generate a new password using your OTP
ham,Your Union Bank netbanking password was changed successfully if you did not authorize this please contact our toll free customer care number
spam,Your mobile number is delinked from your SBI account share the OTP sent to your phone to relink your number and avoid account block
ham,State Bank of India confirms your mobile number is successfully linked to your savings account for all official transaction alerts and OTPs
spam,Account restricted due to pending KYC verification download our secure app from http://kyc-verify-portal.in to submit your documents and restore access
ham,Your KYC verification has been processed by our back office team your account transaction limits have been restored to their standard capacity
spam,Dear customer your HDFC credit card is blocked for exceeding international limits verify your PAN details at http://hdfc-unblock.net to reactivate
ham,Your international transaction limits on your HDFC credit card have been updated successfully log into netbanking to modify these settings anytime
spam,Rs 35000 debited from your account if not done by you report here http://dispute-txn.com to generate a refund OTP and secure your profile
ham,Rs 35000 credited to your account linked to UPI ID beware of fake bank alert messages asking you to click links to refund money
spam,Your ICICI bank account is temporarily disabled due to an incomplete KYC profile click the secure link to verify your identity and resume services
ham,Your request to disable online transactions for your ICICI debit card is complete you can re enable them using the iMobile app
spam,Dear BOB customer your account will be frozen today share OTP now for urgent verification to the authorized banking support agent
ham,Bank of Baroda informs you that no authorized agent will ever ask for your OTP over a phone call please stay alert against voice phishing
spam,HDFC NOTICE your Re KYC is pending update now or your account will be suspended within 24 hours access the official portal here http://hdfc-kyc-update.com
ham,Protect yourself from fraudsters always check that messages from HDFC Bank come from the verified header do not click unverified links for KYC
spam,Account verification required immediately click the secure link below to avoid service interruption and an immediate block on your banking app
ham,Your address verification is complete a replacement cheque book will be shipped to your registered address within 5 to 7 working days
spam,Fake bank alert warning your account is compromised download the anti fraud security app from this link and enter your OTP to stay safe
ham,Union Bank will never ask you to download third party security apps or share your OTP over SMS stay alert against cyber financial frauds
spam,Your Axis NetBanking is locked due to security reasons share the 6 digit OTP to verify your identity and unlock your deposited funds immediately
ham,998877 is the OTP for adding a new beneficiary to your Axis bank account please verify the payee details carefully before completing the transaction
spam,Alert your PNB reward points worth 7500 will expire at midnight click the link to convert them to cash and prevent your account from being blocked
ham,Your PNB bank credit card ending in 9900 was used for a transaction of Rs 600 at Starbucks if this was not you please call customer care
ham,119283 is the OTP for linking your PAN card to your bank account please ensure you are completing this process on the official government website
spam,Your Canara Bank account is blocked due to suspicious UPI transactions verify your [Aadhaar Redacted] details at http://canara-verify.com to remove the security hold
ham,Canara Bank confirms your request to block your UPI ID has been executed successfully please visit the branch to generate a new PIN securely
spam,Dear user your HDFC NetBanking Account will be blocked today please click on the link and update your KYC immediately http://cutt.ly/kyc-update
ham,We at HDFC Bank are concerned that your Cust ID is nearing the Re KYC due date please update your details quickly using your official netbanking login
spam,Dear customer share your OTP immediately to stop account suspension failure to do so may block your access to your mutual fund investments
ham,665748 is your OTP for updating the email address linked to your bank account this code is valid for 15 minutes only and is system generated
spam,Alert your SBI credit card is suspended update your PAN card details at the provided link to restore your services and prevent a permanent block
ham,Your SBI credit card ending in 1122 has been successfully activated for international online transactions you can modify these limits using the official YONO app
ham,558291 is your OTP for resetting the password of your mobile banking application if you did not request this please contact our toll free number
